"filename", "language", "Markdown", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "Skill", "comment", "blank", "total"
"d:\VSProject\Agent\my_agent\vivlos\infra\paths.ts", "TypeScript", 0, 0, 0, 46, 0, 0, 31, 15, 92
"d:\VSProject\Agent\my_agent\vivlos\infra\storage\db.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 9, 8, 42
"d:\VSProject\Agent\my_agent\vivlos\infra\storage\index.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 6
"d:\VSProject\Agent\my_agent\vivlos\infra\storage\repo\config-repo.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 18, 11, 84
"d:\VSProject\Agent\my_agent\vivlos\infra\storage\repo\credential-repo.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 15, 5, 42
"d:\VSProject\Agent\my_agent\vivlos\infra\storage\repo\llm-config-repo.ts", "TypeScript", 0, 0, 0, 63, 0, 0, 20, 17, 100
"d:\VSProject\Agent\my_agent\vivlos\infra\storage\repo\memory-repo.ts", "TypeScript", 0, 0, 0, 90, 0, 0, 19, 12, 121
"d:\VSProject\Agent\my_agent\vivlos\infra\storage\session\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\VSProject\Agent\my_agent\vivlos\infra\storage\session\jsonl-repo.ts", "TypeScript", 0, 0, 0, 98, 0, 0, 25, 15, 138
"d:\VSProject\Agent\my_agent\vivlos\infra\storage\session\types.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 8, 7, 48
"d:\VSProject\Agent\my_agent\vivlos\shared\errors.ts", "TypeScript", 0, 0, 0, 58, 0, 0, 2, 8, 68
"d:\VSProject\Agent\my_agent\vivlos\shared\index.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 3
"d:\VSProject\Agent\my_agent\vivlos\shared\result.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 4, 5, 37
"d:\VSProject\Agent\my_agent\vivlos\shared\test\id.test.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 4, 21
"d:\VSProject\Agent\my_agent\vivlos\shared\test\result.test.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 6, 35
"d:\VSProject\Agent\my_agent\vivlos\shared\test\time.test.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 3, 17
"d:\VSProject\Agent\my_agent\vivlos\shared\test\types.test.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 1, 4, 25
"d:\VSProject\Agent\my_agent\vivlos\shared\utils\id.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 2, 3, 12
"d:\VSProject\Agent\my_agent\vivlos\shared\utils\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\VSProject\Agent\my_agent\vivlos\shared\utils\time.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 2, 2, 10
"d:\VSProject\Agent\my_agent\vivlos\tsconfig.json", "JSON with Comments", 0, 4, 0, 0, 0, 0, 0, 1, 5
"Total", "-", 443, 335, 3549, 3659, 1914, 382, 1104, 1373, 12759
